content,label
高祖平定关中,军事能力
梁王彭越谋反，高祖废除梁王彭越的封号，梁王彭越迁徙蜀地,政治能力
高祖带来一百多骑兵，高祖驰至鸿门，表示歉意,
汉军挑战楚军，汉军辱骂五六天楚军。汉军打败楚军，缴获财宝,军事能力
高祖说：秦始皇帝、楚隐王陈涉、魏安釐王、齐缗王、赵悼襄王都绝嗣无后，分别给予十户人家看守坟墓，秦始皇帝二十家，魏公子无忌五家。,政治能力
高祖进入函谷关，高祖来到冻阳，高祖慰问父老,政治能力
高祖伤胸部，高祖摸脚说：这个贼人射中了我的脚趾,政治能力
高祖是一个大人物，高祖有仁厚长者的风度,私德品行
高祖说：丰邑是我生长的地方，绝不会忘记。高祖免除丰邑徭役。,政治能力
高祖度过平阴津，到达雒阳,
群臣说：高祖起于细微平民，拨乱反正，平定天下，是汉朝的开国始祖，功劳最高。上尊号为高皇帝。,军事能力
高祖修筑甬道。项羽夺取汉军的甬道，汉军缺少粮食。项羽围攻高祖。高祖请求讲和，荥阳以西的土地归汉,政治能力
陈胜将领周章的军队至戏水。燕自立为王。项梁、项羽起兵于吴。,
高祖攻打陈豨,军事能力
项羽说：这是你左司马曹无伤向我说的。高祖脱身，高祖杀曹无伤,政治能力
高祖喝酒,私德品行
卢缩和数千名骑兵停留在边塞，希望高祖病好了去向高祖请罪。,
高祖取城邑,军事能力
郦食其游说高祖，高祖坐在床上，高祖伸两腿，让两个女子洗脚,私德品行
高祖带酒意抄小路，高祖派一人前行探路。前行探路的人说：前面有条大蛇横在路当中，请回去吧。高祖说：好汉走路，何所畏惧。高祖上前，拔剑击蛇。,军事能力
郎中郑忠劝阻高祖，高祖采用郑忠的计策,政治能力
许多没有攻下的城邑，听到这个消息，打开城门,
那些跟随高祖的人敬畏高祖,
高祖说：代地的官吏和百姓并非有罪，高祖赦免百姓和官吏,政治能力
