content,label
纵横五千里的领域受到安抚,政治能力
皋陶担任大理，人们信服皋陶。伯夷主持礼仪，上上下下都够谦恭礼让。垂担任工师，百工做自己的工作。益担任虞，湖泽得到开发。帝舜置州牧，民众没有违抗,政治能力
帝舜问谁能管理我山上泽中的草木鸟兽，大家说益行。帝舜任命益为朕虞，朕虞主管山泽,政治能力
帝尧问谁可以治理天下，四岳推荐帝舜,政治能力
天下人归服帝舜,"政治能力, 私德品行"
帝舜逝世,|
帝舜去东方祭祀名山大川,|
帝舜是冀州人,家庭背景
帝舜的父亲瞽叟是瞎子，瞽叟喜欢后妻的儿子，瞽叟想杀帝舜，帝舜侍奉父亲后母及后母弟，帝舜没有一点懈怠,私德品行
帝舜让给帝位让给丹朱，诸侯前来朝觐的到帝舜那里，打官司的找帝舜，歌颂功德的歌颂帝舜，帝舜说这是天意呀,政治能力
帝舜说：弃，黎民正在挨饿受饥，你负责农业，去教他们播种百谷吧。,政治能力
帝舜代理天子之政事,政治能力
帝尧的女儿嫁帝舜，帝尧观察帝舜在家的德行，帝尧让九个儿子来观察帝舜在外的为人。帝舜居住在妫水岸边，帝舜做事谨慎，帝尧的两个女儿对待舜的亲属讲究为妇之道,私德品行
帝舜到南方,|
帝舜说，有谁能奋发努力，建立功业，光大帝尧的事业，授给他官职辅佐我办事呢。四岳说让伯禹担任司空可以光大帝尧的事业。帝舜说好,政治能力
帝尧试用帝舜去理顺五种伦理道德和参与百官的事，,政治能力
帝舜的父亲母亲弟弟想杀掉舜，帝舜不违背为子之道，友爱兄弟，帝舜孝顺父母,私德品行
帝舜代行天子的政务,政治能力
帝舜问那么谁能管理我的各种工匠，大家说垂可以。帝舜任命垂为共工,政治能力
帝舜尽孝悌之道，帝舜治理家业，帝舜使父亲、母亲、弟弟不走向邪恶,私德品行
帝舜开始把天下划分为十二个州,政治能力
尧的两个女儿嫁帝舜,家庭背景
帝舜说龙我非常憎恶那种诬陷他人的坏话和灭绝道义的行为惊扰我的臣民我任命你为纳言官早晚传达我的旨命报告下情一定要诚实守信,"政治能力, 私德品行"
帝舜举用八元的后代，帝舜让八元的后代传布五种教化，做父亲的有道义,政治能力
瞽叟让帝舜挖井，帝舜挖深处，瞽叟和象倒土，瞽叟和象填水井，瞽叟和象以为帝舜已经死了。帝舜回到自己的住处，象摆闷闷不乐的样子，象说我正在想念你呢想得我好心闷啊。帝舜说是啊但愿你是这样啊,私德品行
帝舜说：啊，四岳，有谁能替我主持天事、地事、人事三种祭祀。四岳说伯夷可以。帝舜说啊伯夷我任命你担秩宗主管祭祀要早晚虔敬要正直清明啊,政治能力
帝尧让帝舜行天子政务,政治能力
考核决定罢免,政治能力
帝舜接受尧的禅让,政治能力
帝舜规定执法，帝舜减刑罚，帝舜刑罚谨慎,"政治能力, 私德品行"
帝舜告祭祖庙,|
帝舜瓦解三苗部族,军事能力
帝舜用八恺的后代，帝舜让八恺的后代主管农业，负责各项政务,政治能力
帝舜进行考察,政治能力
德政开始从帝舜时代,"政治能力, 私德品行"
帝尧派帝舜进入山野丛林大川草泽，帝舜遇暴风雷雨，帝舜没有迷路误事,军事能力
帝舜行天子之政，帝舜到四方,政治能力
